model,roc_auc_mean,f1_mean,recall_mean,precision_mean,accuracy_mean
LogisticRegression,0.8480325731240624,0.6302752321399611,0.7953177257525084,0.5221843892398076,0.7525762764755296
RandomForest,0.8452959647115762,0.6342845661222432,0.7183946488294315,0.5679454273979336,0.7804411655773592
NeuralNetwork_MLP,0.8396682432260958,0.5897731848418042,0.5458193979933109,0.6415426068837855,0.7987234062672872
XGBoost,0.8376611415484355,0.6281037450234482,0.731772575250836,0.5502992907311248,0.7701475647792517
